fecha_fin_tratamiento,Frequency.6
2018-10-18,14640.0
2019-01-07,14599.0
2018-10-24,14587.0
2016-05-16,14528.0
2016-06-02,14516.0
2018-12-17,14451.0
2018-09-25,14448.0
2016-04-29,14445.0
2016-05-26,14363.0
2018-10-29,14357.0
2019-01-29,14337.0
2018-11-27,14322.0
2019-02-05,14280.0
2016-06-06,14277.0
2018-09-24,14239.0
2016-05-23,14209.0
2016-04-01,14165.0
2018-11-14,14165.0
2018-11-20,14159.0
2016-05-27,14123.0
2018-12-13,14088.0
2019-01-30,14078.0
2018-11-19,14050.0
2016-06-13,14035.0
2016-06-28,14033.0
2016-06-21,14000.0
2018-09-11,13978.0
2018-11-08,13939.0
2016-10-05,13939.0
2016-03-18,13938.0
2016-06-22,13929.0
2018-09-26,13904.0
2019-02-06,13838.0
2018-10-04,13808.0
2018-11-21,13757.0
2016-10-25,13740.0
2016-02-06,13714.0
2019-05-07,13696.0
2018-09-17,13683.0
2019-01-28,13672.0
2016-05-30,13639.0
2016-06-09,13606.0
2016-10-19,13596.0
2019-02-04,13551.0
2018-11-26,13544.0
2016-10-26,13538.0
2019-04-16,13498.0
2016-09-21,13487.0
2019-04-15,13474.0
2018-12-19,13461.0
2016-06-03,13454.0
2016-09-27,13413.0
2016-10-18,13361.0
2016-06-29,13337.0
2019-01-21,13311.0
2019-04-10,13234.0
2019-03-05,13217.0
2016-10-04,13188.0
2018-11-28,13187.0
2019-04-17,13186.0
2016-06-16,13177.0
2018-10-09,13175.0
2019-05-06,13158.0
2019-05-01,13143.0
2019-04-09,13116.0
2016-11-09,13094.0
2019-02-12,13014.0
2019-01-24,13014.0
2016-07-06,13005.0
2016-09-28,13000.0
2016-06-17,12990.0
2016-09-20,12990.0
2019-04-23,12927.0
2019-01-31,12904.0
2019-04-03,12861.0
2018-09-12,12859.0
2018-11-01,12814.0
2019-02-11,12813.0
2019-02-19,12801.0
2019-05-14,12779.0
2019-02-13,12765.0
2016-11-02,12742.0
2016-09-29,12722.0
2018-09-20,12702.0
2016-10-13,12674.0
2018-10-25,12668.0
2019-05-08,12606.0
2016-10-06,12604.0
2019-02-20,12593.0
2018-09-10,12562.0
2019-03-12,12537.0
2019-03-26,12531.0
2016-06-30,12517.0
2018-11-15,12511.0
2016-10-20,12511.0
2016-09-22,12463.0
2016-09-13,12463.0
2019-03-20,12445.0
2016-01-31,12422.0
2019-02-18,12411.0
2018-09-27,12398.0
2016-11-16,12393.0
2019-05-02,12392.0
2016-06-23,12383.0
2016-11-08,12374.0
2019-05-28,12340.0
2019-03-25,12314.0
2018-11-22,12250.0
2019-04-22,12249.0
2019-05-21,12243.0
2019-03-04,12191.0
2019-04-24,12168.0
2016-09-15,12153.0
2019-04-11,12101.0
2016-12-14,12089.0
2019-05-13,12085.0
2016-11-03,12083.0
2019-02-27,12071.0
2019-03-06,12067.0
2019-02-07,12042.0
2016-03-28,12006.0
2018-11-29,11987.0
2019-05-09,11970.0
2019-02-26,11958.0
2016-06-20,11955.0
2016-09-14,11938.0
2019-05-15,11911.0
2016-01-30,11870.0
2016-12-13,11866.0
2019-03-11,11837.0
2016-02-13,11836.0
2016-11-23,11787.0
2016-11-15,11785.0
2016-09-16,11776.0
2016-06-27,11774.0
2018-12-03,11724.0
2018-09-04,11669.0
2019-04-04,11649.0
2019-05-22,11648.0
2019-06-04,11641.0
2019-03-13,11608.0
2016-10-17,11557.0
2018-12-20,11555.0
2019-03-21,11550.0
2019-02-14,11535.0
2016-09-30,11531.0
2019-03-19,11527.0
2016-11-04,11514.0
2016-06-24,11500.0
2019-02-25,11465.0
2016-07-12,11404.0
2016-10-14,11396.0
2016-10-27,11365.0
2019-05-27,11354.0
2019-02-28,11332.0
2016-02-07,11327.0
2019-05-29,11252.0
2018-09-13,11248.0
2016-11-22,11238.0
2016-10-21,11237.0
2016-07-13,11232.0
2016-03-12,11231.0
2016-07-01,11226.0
2016-11-29,11226.0
2016-11-10,11223.0
2019-04-25,11216.0
2016-10-28,11197.0
2016-07-05,11192.0
2016-10-03,11170.0
2019-02-21,11155.0
2018-09-03,11116.0
2016-09-23,11108.0
2016-09-07,11059.0
2016-02-14,10989.0
2019-06-05,10949.0
2016-11-30,10920.0
2018-09-05,10919.0
2019-05-20,10904.0
2016-11-17,10855.0
2016-07-07,10839.0
2016-07-27,10827.0
2019-04-18,10746.0
2019-06-03,10742.0
2016-02-20,10713.0
2016-09-26,10683.0
2016-03-25,10671.0
2016-12-15,10666.0
2019-03-07,10625.0
2016-07-08,10625.0
2016-03-24,10544.0
2016-07-20,10527.0
2016-09-09,10521.0
2019-04-02,10513.0
2016-09-19,10492.0
2016-11-11,10475.0
2016-10-24,10462.0
2016-11-24,10441.0
2016-09-06,10414.0
2016-09-08,10397.0
2016-10-11,10363.0
2019-05-16,10327.0
2016-09-02,10319.0
2016-07-14,10238.0
2016-11-07,10236.0
2016-02-27,10200.0
2019-01-02,10114.0
2019-03-14,10107.0
2016-12-01,10096.0
2016-03-19,10067.0
2016-12-20,9882.0
2016-12-21,9879.0
2016-07-19,9865.0
2016-11-18,9830.0
2016-12-02,9790.0
2016-07-04,9783.0
2018-10-30,9756.0
2019-06-06,9752.0
2016-02-28,9738.0
2019-03-27,9732.0
2016-09-12,9672.0
2016-09-01,9635.0
2016-08-31,9614.0
2016-08-30,9602.0
2019-01-01,9564.0
2019-01-03,9539.0
2016-07-26,9464.0
2019-05-30,9453.0
2016-07-15,9442.0
2018-10-19,9420.0
2016-12-16,9418.0
2016-07-11,9385.0
2016-11-14,9367.0
2019-05-23,9343.0
2018-09-06,9338.0
2016-12-12,9334.0
2016-03-26,9330.0
2016-08-17,9245.0
2016-07-29,9234.0
2016-07-22,9217.0
2016-07-28,9175.0
2016-11-28,9155.0
2016-07-21,9152.0
2016-08-03,9125.0
2016-08-23,9116.0
2016-08-24,9108.0
2016-03-27,9101.0
2016-11-21,9062.0
2016-10-07,9015.0
2016-03-13,9000.0
2016-02-21,8993.0
2016-08-09,8966.0
2018-11-09,8959.0
2016-11-25,8931.0
2016-09-05,8854.0
2016-08-10,8842.0
2018-12-26,8799.0
2018-10-10,8773.0
2016-08-02,8733.0
2016-03-20,8722.0
2018-11-30,8716.0
2016-08-05,8701.0
2016-08-18,8686.0
2018-11-02,8679.0
2016-12-09,8499.0
2016-07-18,8489.0
2016-12-07,8476.0
2016-08-26,8454.0
2018-12-14,8365.0
2017-01-11,8351.0
2016-08-25,8320.0
2019-01-18,8314.0
2018-08-28,8287.0
2018-10-05,8269.0
2018-09-21,8261.0
2016-08-04,8255.0
2016-07-25,8250.0
2019-01-11,8171.0
2019-04-08,8140.0
2016-04-04,8016.0
2017-02-28,8001.0
2016-10-31,7982.0
2018-12-04,7977.0
2018-12-27,7977.0
2018-11-04,7949.0
2016-10-10,7935.0
2016-08-19,7869.0
2017-01-17,7855.0
2018-09-30,7846.0
