cod_diagnostico,Frequency.4
723.0,6002
574.5,6002
493.2,5996
366.17,5995
39.27,5994
622.1,5992
V12.71,5990
96.72,5990
296.90,5986
39.50,5981
33.26,5959
V69.0,5957
305.02,5952
992.7,5948
716.60,5938
O09.523,5923
825.0,5922
00052,5922
4A033R1,5917
432.1,5915
376.6,5911
95.01,5909
661.21,5895
560.39,5895
B030ZZZ,5891
77.59,5889
12.64,5878
N18.3,5874
738.4,5867
521.06,5867
575.6,5866
648.1,5866
958.6,5865
652.81,5861
91.39,5859
3E0S3CZ,5856
V43.4,5853
53.49,5853
20.08,5852
707.10,5850
331.82,5840
239.2,5837
535.4,5831
453.8,5831
V44.0,5827
692.72,5814
558.2,5807
717.0,5802
648.8,5795
425.1,5793
V13.01,5780
535.50,5774
287.2,5766
157.0,5764
493.1,5761
820.22,5759
799.2,5758
V10.21,5758
788.42,5757
G30.9,5750
00158,5749
780.01,5748
72.8,5741
729.6,5741
196.9,5741
791,5734
051.0,5734
10D00Z1,5731
434.90,5720
842.10,5719
626.1,5718
78.67,5711
373.9,5698
735.9,5695
704.09,5693
301.83,5690
197.2,5684
785.4,5678
289.9,5673
V45.86,5664
20.04.04,5659
789.05,5657
0T9B70Z,5649
815.00,5639
272.7,5632
784.3,5630
303.92,5628
924.1,5628
455.5,5624
426.13,5622
85.22,5619
E66.3,5616
375.21,5604
00135,5598
83.63,5597
616,5593
238.4,5585
382.4,5581
V62.84,5580
793,5576
0FT44ZZ,5575
V71.7,5568
295.90,5561
16.91,5558
379.31,5552
